location_id,AddressNumber,StreetNamePreDirectional,StreetNamePreType,StreetName,StreetNamePostType,StreetNamePostDirectional,county,address_1,address_2,city,state,zip,state_abbr,location_source_value,latitude,longitude,geometry,Nominatim_address
46090,154,,,Victory,Drive,,St. Clair County,154 Victory Dr,,Pell City,Alabama,35125,AL,"154 VICTORY DR, PELL CITY, AL 35125",33.599527022970065,-86.31870579469644,POINT (-86.31870579469644 33.59952702297007),"154,  Victory Drive , Pell City, St. Clair County, Alabama, 35125, United States"
44167,1401,,State Highway,20,,West,Morgan County,1401 State Highway 20 West,,Decatur,Alabama,35601,AL,"1401 STATE HIGHWAY 20 WEST, DECATUR, AL 35601",34.617567284501874,-87.0056281353282,POINT (-87.00562813532819 34.61756728450187),"1401, State Highway 20  West, Decatur, Morgan County, Alabama, 35601, United States"
14894,800,,,Lakeshore,Drive,,Jefferson County,800 Lakeshore Drive,,Birmingham,Alabama,35229,AL,"800 LAKESHORE DRIVE, BIRMINGHAM, AL 35229",33.46594603700004,-86.79220465299993,POINT (-86.79220465299993 33.46594603700004),"800,  Lakeshore Drive , Birmingham, Jefferson County, Alabama, 35229, United States"
64860,2500,,,4th,Avenue,South,Jefferson County,2500 4Th Avenue South,,Birmingham,Alabama,35233,AL,"2500 4TH AVENUE SOUTH, BIRMINGHAM, AL 35233",33.51274453628073,-86.79475305580375,POINT (-86.79475305580375 33.51274453628073),"2500,  4th Avenue South, Birmingham, Jefferson County, Alabama, 35233, United States"
64881,1440,North,,Mckenzie,Street,,Baldwin County,1440 North Mckenzie Street,,Foley,Alabama,36535,AL,"1440 NORTH MCKENZIE STREET, FOLEY, AL 36535",30.42277922928153,-87.68236961329856,POINT (-87.68236961329856 30.42277922928153),"1440,North  Mckenzie Street , Foley, Baldwin County, Alabama, 36535, United States"
17066,3,,,Water,Street,,Wilcox County,3 Water Street,,Camden,Alabama,36726,AL,"3 Water Street, Camden, Alabama 36726",31.990317,-87.288132,POINT (-87.288132 31.990317),"3,  Water Street , Camden, Wilcox County, Alabama, 36726, United States"
65510,2638,,,Enterprise,Drive,,Lee County,2638 Enterprise Drive,,Opelika,Alabama,36801,AL,"2638 ENTERPRISE DRIVE, OPELIKA, AL 36801",32.61809120310113,-85.4087213779682,POINT (-85.40872137796821 32.61809120310113),"2638,  Enterprise Drive , Opelika, Lee County, Alabama, 36801, United States"
42759,402,,,Lee,Street,Northeast,Morgan County,402 Lee Street Northeast,,Decatur,Alabama,35601,AL,"402 LEE STREET NORTHEAST, DECATUR, AL 35601",34.60618656224358,-86.98368122523394,POINT (-86.98368122523394 34.60618656224358),"402,  Lee Street Northeast, Decatur, Morgan County, Alabama, 35601, United States"
51855,2708,,,Dutch Bend,Street,,Autauga County,2708 Dutch Bend St,,Autaugaville,Alabama,36003,AL,"2708 DUTCH BEND ST, AUTAUGAVILLE, AL 36003",32.433940238927164,-86.65999187523153,POINT (-86.65999187523153 32.43394023892716),"2708,  Dutch Bend Street , Autaugaville, Autauga County, Alabama, 36003, United States"
31639,107,,,Governors,Drive,Southwest,Madison County,107 Governors Drive Sw,,Huntsville,Alabama,35801,AL,"107 GOVERNORS DRIVE SW, HUNTSVILLE, AL 35801",34.71920943,-86.57986887,POINT (-86.57986887 34.71920943),"107,  Governors Drive Southwest, Huntsville, Madison County, Alabama, 35801, United States"
43786,240,,Highway,265,,South,Wilcox County,240 Hwy 265 S,,Camden,Alabama,36726,AL,"240 HWY 265 S, CAMDEN, AL 36726",31.98783973954668,-87.28818302736337,POINT (-87.28818302736337 31.98783973954668),"240, Highway 265  South, Camden, Wilcox County, Alabama, 36726, United States"
46011,2649,,,Decatur,Highway,,Jefferson County,2649 Decatur Hwy,,Gardendale,Alabama,35071,AL,"2649 DECATUR HWY, GARDENDALE, AL 35071",33.69118997993017,-86.81893989029979,POINT (-86.81893989029979 33.69118997993017),"2649,  Decatur Highway , Gardendale, Jefferson County, Alabama, 35071, United States"
17064,111,South,,Main,Street,,Escambia County,111 South Main Street,,Atmore,Alabama,36502,AL,"111 South Main Street, Atmore, Alabama 36502",31.023379,-87.49376,POINT (-87.49375999999999 31.023379),"111,South  Main Street , Atmore, Escambia County, Alabama, 36502, United States"
46280,1918,South,,Greenwood,Avenue,,Sebastian County,1918 S Greenwood Ave,,Fort Smith,Arkansas,72901,AR,"1918 S GREENWOOD AVE, FORT SMITH, AR 72901",35.364974363643974,-94.40503524235496,POINT (-94.40503524235496 35.36497436364397),"1918,South  Greenwood Avenue , Fort Smith, Sebastian County, Arkansas, 72901, United States"
16514,75,North,,East,Street,,Benton County,75 North East Street,,Fayetteville,Arkansas,72701,AR,"75 North East Street, Fayetteville, Arkansas 72701",36.373131,-94.208106,POINT (-94.208106 36.373131),"75,North  East Street , Fayetteville, Benton County, Arkansas, 72701, United States"
46261,923,West,,Bingham,Road,,Pulaski County,923 W Bingham Rd,,Little Rock,Arkansas,72206,AR,"923 W BINGHAM RD, LITTLE ROCK, AR 72206",34.58471199997399,-92.27755426294762,POINT (-92.27755426294762 34.58471199997399),"923,West  Bingham Road , Little Rock, Pulaski County, Arkansas, 72206, United States"
17541,211,,,Main,Street,Southeast,Benton County,211 Main St Se,,Gravette,Arkansas,72736,AR,"211 Main St Se, Gravette, Arkansas 72736",36.422253,-94.451132,POINT (-94.451132 36.422253),"211,  Main Street Southeast, Gravette, Benton County, Arkansas, 72736, United States"
46289,2006,East,,Mission,Boulevard,,Washington County,2006 E Mission Blvd,,Fayetteville,Arkansas,72703,AR,"2006 E MISSION BLVD, FAYETTEVILLE, AR 72703",36.08632676124085,-94.13329175175475,POINT (-94.13329175175475 36.08632676124085),"2006,East  Mission Boulevard , Fayetteville, Washington County, Arkansas, 72703, United States"
37597,202,West,,Bishop,Street,,Howard County,202 W Bishop St,,Nashville,Arkansas,71852,AR,"202 W Bishop St, Nashville, AR 71852",33.94844500001486,-93.848583999553,POINT (-93.848583999553 33.94844500001486),"202,West  Bishop Street , Nashville, Howard County, Arkansas, 71852, United States"
16509,3878,North,,Crossover,Road,,Washington County,3878 North Crossover Road,Suite 20,Fayetteville,Arkansas,72703,AR,"3878 North Crossover Road, Suite 20, Fayetteville, Arkansas 72703",36.120848,-94.119185,POINT (-94.119185 36.120848),"3878,North  Crossover Road , Fayetteville, Washington County, Arkansas, 72703, United States"
14955,200,East,,Washington,Avenue,,Pulaski County,200 E Washington Ave,,North Little Rock,Arkansas,72114,AR,"200 E WASHINGTON AVE, NORTH LITTLE ROCK, AR 72114",34.75384332500005,-92.26642869499992,POINT (-92.26642869499992 34.75384332500005),"200,East  Washington Avenue , North Little Rock, Pulaski County, Arkansas, 72114, United States"
62946,724,North,,Spring,Street,,Boone County,724 North Spring Street,,Harrison,Arkansas,72601,AR,"724 NORTH SPRING STREET, HARRISON, AR 72601",36.23751233287823,-93.11005744131823,POINT (-93.11005744131823 36.23751233287823),"724,North  Spring Street , Harrison, Boone County, Arkansas, 72601, United States"
31901,6700,,,Chad Colley,Boulevard,,Sebastian County,6700 Chad Colley Boulevard,,Fort Smith,Arkansas,72916,AR,"6700 CHAD COLLEY BOULEVARD, FORT SMITH, AR 72916",35.3194863300001,-94.3167917499999,POINT (-94.31679174999989 35.3194863300001),"6700,  Chad Colley Boulevard , Fort Smith, Sebastian County, Arkansas, 72916, United States"
16331,109,North,,Commerce,Street,,Pope County,109 N Commerce St,,Russellville,Arkansas,72801,AR,"109 N COMMERCE ST, RUSSELLVILLE, AR 72801",35.27901782100002,-93.135362608,POINT (-93.13536260799999 35.27901782100002),"109,North  Commerce Street , Russellville, Pope County, Arkansas, 72801, United States"
16516,137,South,,Main,Street,,Benton County,137 S Main Street,,Cave City,Arkansas,72521,AR,"137 S Main Street, Cave City, Arkansas 72521",36.263888,-94.232105,POINT (-94.232105 36.263888),"137,South  Main Street , Cave City, Benton County, Arkansas, 72521, United States"
14088,1515,,,Pioneer,Drive,,Boone County,1515 Pioneer Dr,,Harrison,Arkansas,72601,AR,"1515 PIONEER DR, HARRISON, AR 72601",36.21991899600005,-93.08844046099996,POINT (-93.08844046099996 36.21991899600005),"1515,  Pioneer Drive , Harrison, Boone County, Arkansas, 72601, United States"
7247,2508,West,,Belmont,Avenue,,Maricopa County,2508 W Belmont Ave,APT 3,Phoenix,Arizona,85051,AZ,"2508 W BELMONT AVE APT 3, PHOENIX, AZ 85051",33.54926799965957,-112.11301099981424,POINT (-112.1130109998142 33.54926799965957),"2508,West  Belmont Avenue , Phoenix, Maricopa County, Arizona, 85051, United States"
10889,1525,West,,Otilia,Drive,,Pima County,1525 W Otilia Dr,,Tucson,Arizona,85705,AZ,"1525 W OTILIA DR, TUCSON, AZ 85705",32.269113999755845,-110.9995569998298,POINT (-110.9995569998298 32.26911399975585),"1525,West  Otilia Drive , Tucson, Pima County, Arizona, 85705, United States"
27573,1700,,,Iron Springs,Road,,Yavapai County,1700 Iron Springs Road,,Prescott,Arizona,86305,AZ,"1700 Iron Springs Road, Prescott, AZ 86305",34.570766544276225,-112.49956439036028,POINT (-112.4995643903603 34.57076654427622),"1700,  Iron Springs Road , Prescott, Yavapai County, Arizona, 86305, United States"
58318,2510,North,,Trekell,Road,,Pinal County,2510 N Trekell Rd,,Casa Grande,Arizona,85122,AZ,"2510 N TREKELL RD, CASA GRANDE, AZ 85122",32.886633235677024,-111.75808499342985,POINT (-111.7580849934298 32.88663323567702),"2510,North  Trekell Road , Casa Grande, Pinal County, Arizona, 85122, United States"
11102,40,,,Old Douglas,Road,,Cochise County,40 Old Douglas Rd,,Bisbee,Arizona,85603,AZ,"40 OLD DOUGLAS RD, BISBEE, AZ 85603",31.427989999778013,-109.88601400015692,POINT (-109.8860140001569 31.42798999977801),"40,  Old Douglas Road , Bisbee, Cochise County, Arizona, 85603, United States"
10881,9121,West,,Jefferson,Street,,Maricopa County,9121 W Jefferson St,LOT 34,Tolleson,Arizona,85353,AZ,"9121 W JEFFERSON ST LOT 34, TOLLESON, AZ 85353",33.44637300036224,-112.2560519999709,POINT (-112.2560519999709 33.44637300036224),"9121,West  Jefferson Street , Tolleson, Maricopa County, Arizona, 85353, United States"
60721,550,West,,5th,Street,,Yuma County,550 W 5Th St,,Yuma,Arizona,85364,AZ,"550 W 5TH ST, YUMA, AZ 85364",32.71822319289537,-114.62647062225896,POINT (-114.626470622259 32.71822319289537),"550,West  5th Street , Yuma, Yuma County, Arizona, 85364, United States"
3807,6128,West,,Ivanhoe,Street,,Maricopa County,6128 W Ivanhoe St,,Chandler,Arizona,85226,AZ,"6128 W IVANHOE ST, CHANDLER, AZ 85226",33.31585800018193,-111.94731100003382,POINT (-111.9473110000338 33.31585800018193),"6128,West  Ivanhoe Street , Chandler, Maricopa County, Arizona, 85226, United States"
46148,539,East,,La Pasada,Boulevard,,Maricopa County,539 E La Pasada Blvd,,Goodyear,Arizona,85338,AZ,"539 E LA PASADA BLVD, GOODYEAR, AZ 85338",33.44343431583078,-112.3503125182793,POINT (-112.3503125182793 33.44343431583078),"539,East  La Pasada Boulevard , Goodyear, Maricopa County, Arizona, 85338, United States"
10382,7569,West,,Greenway,Road,,Maricopa County,7569 W Greenway Rd,,Peoria,Arizona,85381,AZ,"7569 W GREENWAY RD, PEORIA, AZ 85381",33.62476299998787,-112.22171100027032,POINT (-112.2217110002703 33.62476299998787),"7569,West  Greenway Road , Peoria, Maricopa County, Arizona, 85381, United States"
7905,5317,East,,6th,Street,,Pima County,5317 E 6Th St,,Tucson,Arizona,85711,AZ,"5317 E 6TH ST, TUCSON, AZ 85711",32.22807800032167,-110.87903299990498,POINT (-110.879032999905 32.22807800032167),"5317,East  6th Street , Tucson, Pima County, Arizona, 85711, United States"
59885,667,North,,7th,Avenue,,Pima County,667 N 7Th Ave,,Tucson,Arizona,85705,AZ,"667 N 7TH AVE, TUCSON, AZ 85705",32.23000613670909,-110.97050840935428,POINT (-110.9705084093543 32.23000613670909),"667,North  7th Avenue , Tucson, Pima County, Arizona, 85705, United States"
6714,5652,West,,Melinda,Lane,,Maricopa County,5652 W Melinda Ln,,Glendale,Arizona,85308,AZ,"5652 W MELINDA LN, GLENDALE, AZ 85308",33.68306900007444,-112.183101999552,POINT (-112.183101999552 33.68306900007444),"5652,West  Melinda Lane , Glendale, Maricopa County, Arizona, 85308, United States"
14558,401,,,15th,Street,,Alameda County,401 15Th Street,,Oakland,California,94612,CA,"401 15TH STREET, OAKLAND, CA 94612",37.80478781200002,-122.26974493999994,POINT (-122.2697449399999 37.80478781200002),"401,  15th Street , Oakland, Alameda County, California, 94612, United States"
40559,9100,,,Rosedale,Highway,,Twin Falls County,9100 Rosedale Highway,,Bakersfield,California,93312,CA,"9100 ROSEDALE HIGHWAY, BAKERSFIELD, CA 93312",42.592584642261336,-114.7497408411776,POINT (-114.7497408411776 42.59258464226134),"9100,  Rosedale Highway , Bakersfield, Twin Falls County, California, 93312, United States"
40781,250,East,,Antelope,Avenue,,Utah County,250 East Antelope Avenue,,Woodlake,California,93286,CA,"250 EAST ANTELOPE AVENUE, WOODLAKE, CA 93286",40.30339061388149,-111.7075961045574,POINT (-111.7075961045574 40.30339061388149),"250,East  Antelope Avenue , Woodlake, Utah County, California, 93286, United States"
32170,47111,,,Monroe,Street,,Riverside County,47111 Monroe St,,Indio,California,92201,CA,"47111 MONROE ST, INDIO, CA 92201",33.7065682800001,-116.23525807,POINT (-116.23525807 33.7065682800001),"47111,  Monroe Street , Indio, Riverside County, California, 92201, United States"
41775,1400,West,,Grand,Avenue,,Fresno County,1400 West Grand Avenue,,Grover Beach,California,93433,CA,"1400 WEST GRAND AVENUE, GROVER BEACH, CA 93433",36.79364538699748,-119.73093123064628,POINT (-119.7309312306463 36.79364538699748),"1400,West  Grand Avenue , Grover Beach, Fresno County, California, 93433, United States"
42288,30222,,,Crown Valley,Parkway,,Orange County,30222 Crown Valley Parkway,,Laguna Niguel,California,92677,CA,"30222 CROWN VALLEY PARKWAY, LAGUNA NIGUEL, CA 92677",33.84024368284215,-117.88812325480887,POINT (-117.8881232548089 33.84024368284215),"30222,  Crown Valley Parkway , Laguna Niguel, Orange County, California, 92677, United States"
38325,3955,,,Bonita,Road,,San Francisco County,3955 Bonita Road,,Bonita,California,91902,CA,"3955 BONITA ROAD, BONITA, CA 91902",37.7910290070776,-122.42050018992228,POINT (-122.4205001899223 37.7910290070776),"3955,  Bonita Road , Bonita, San Francisco County, California, 91902, United States"
31957,2975,,,Sycamore,Drive,,Ventura County,2975 Sycamore Drive,,Simi Valley,California,93065,CA,"2975 SYCAMORE DRIVE, SIMI VALLEY, CA 93065",34.2891653900001,-118.74453532,POINT (-118.74453532 34.2891653900001),"2975,  Sycamore Drive , Simi Valley, Ventura County, California, 93065, United States"
15083,18618,,,Oxnard,Street,,Los Angeles County,18618 Oxnard St,,Tarzana,California,91356,CA,"18618 OXNARD ST, TARZANA, CA 91356",34.17972017900007,-118.53879282299998,POINT (-118.538792823 34.17972017900007),"18618,  Oxnard Street , Tarzana, Los Angeles County, California, 91356, United States"
32272,501,South,,Buena Vista,Street,,Los Angeles County,501 S Buena Vista St,,Burbank,California,91505,CA,"501 S BUENA VISTA ST, BURBANK, CA 91505",34.1570435300001,-118.32886911,POINT (-118.32886911 34.1570435300001),"501,South  Buena Vista Street , Burbank, Los Angeles County, California, 91505, United States"
39287,470,North,,Airport,Road,,Coos County,470 North Airport Road,,Willows,California,95988,CA,"470 NORTH AIRPORT ROAD, WILLOWS, CA 95988",43.1122889291675,-124.41472873083664,POINT (-124.4147287308366 43.1122889291675),"470,North  Airport Road , Willows, Coos County, California, 95988, United States"
46444,20419,,,Brian,Way,,Kern County,20419 Brian Way,,Tehachapi,California,93561,CA,"20419 BRIAN WAY, TEHACHAPI, CA 93561",35.125632002823714,-118.49288462337304,POINT (-118.492884623373 35.12563200282371),"20419,  Brian Way , Tehachapi, Kern County, California, 93561, United States"
39124,2341,,,Sunset,Boulevard,,San Francisco County,2341 Sunset Boulevard,,Rocklin,California,95765,CA,"2341 SUNSET BOULEVARD, ROCKLIN, CA 95765",37.78250797770474,-122.44132475337904,POINT (-122.441324753379 37.78250797770474),"2341,  Sunset Boulevard , Rocklin, San Francisco County, California, 95765, United States"
59482,605,,,Education,Avenue,,Morgan County,605 Education Avenue,,Fort Morgan,Colorado,80701,CO,"605 EDUCATION AVENUE, FORT MORGAN, CO 80701",40.25041833209267,-103.80699400215232,POINT (-103.8069940021523 40.25041833209267),"605,  Education Avenue , Fort Morgan, Morgan County, Colorado, 80701, United States"
57553,4800,,,Telluride,Street,,Denver County,4800 Telluride Street,BLDG. 6,Denver,Colorado,80249,CO,"4800 TELLURIDE STREET BLDG. 6, DENVER, CO 80249",39.78572938993949,-104.78008751729573,POINT (-104.7800875172957 39.78572938993949),"4800,  Telluride Street , Denver, Denver County, Colorado, 80249, United States"
25083,1401,South,,Taft,Avenue,,Larimer County,1401 S Taft Ave,,Denver,Colorado,80202,CO,"1401 S TAFT AVE, Denver, Colorado 80202",40.3780320000001,-105.095545,POINT (-105.095545 40.3780320000001),"1401,South  Taft Avenue , Denver, Larimer County, Colorado, 80202, United States"
60527,55,South,,Zuni,,,Denver County,55 South Zuni,,Denver,Colorado,80223,CO,"55 SOUTH ZUNI, DENVER, CO 80223",39.71531797293917,-105.01525044890322,POINT (-105.0152504489032 39.71531797293917),"55,South  Zuni  , Denver, Denver County, Colorado, 80223, United States"
6593,10685,,,Tancred,Street,,Adams County,10685 Tancred St,,Northglenn,Colorado,80234,CO,"10685 TANCRED ST, NORTHGLENN, CO 80234",39.890490000138215,-105.01314800037125,POINT (-105.0131480003712 39.89049000013821),"10685,  Tancred Street , Northglenn, Adams County, Colorado, 80234, United States"
3042,2861,South,,Olathe,Court,,Arapahoe County,2861 S Olathe Ct,,Aurora,Colorado,80013,CO,"2861 S OLATHE CT, AURORA, CO 80013",39.66395600005788,-104.7929409995548,POINT (-104.7929409995548 39.66395600005788),"2861,South  Olathe Court , Aurora, Arapahoe County, Colorado, 80013, United States"
