location_id,AddressNumber,StreetNamePreDirectional,StreetNamePreType,StreetName,StreetNamePostType,StreetNamePostDirectional,county,address_1,address_2,city,state,zip,state_abbr,location_source_value,latitude,longitude,geometry,Nominatim_address,Primary RUCA Code 2010,rural,tribal,rural_tribal
18268,2003,East,,Parkway,Drive,,Pope County,2003 East Parkway Drive,,Russellville,Arkansas,72802,AR,"2003 EAST PARKWAY DRIVE, RUSSELLVILLE, AR 72802",35.283128410000074,-93.11078712499994,POINT (-93.11078712499994 35.28312841000007),"2003,East  Parkway Drive , Russellville, Pope County, Arkansas, 72802, United States",4.0,1,0,0
37260,157,,,Huntsville,Road,,Carroll County,157 Huntsville Rd,,Eureka Springs,Arkansas,72632,AR,"157 HUNTSVILLE RD, EUREKA SPRINGS, AR 72632",36.38418631375775,-93.7360475460467,POINT (-93.73604754604671 36.38418631375775),"157,  Huntsville Road , Eureka Springs, Carroll County, Arkansas, 72632, United States",10.0,1,0,0
42958,235,,,Treating Plant,Road,,Sevier County,235 Treating Plant Rd,,Dequeen,Arkansas,71832,AR,"235 TREATING PLANT RD, DEQUEEN, AR 71832",34.0178960089297,-94.37112480067849,POINT (-94.37112480067849 34.0178960089297),"235,  Treating Plant Road , Dequeen, Sevier County, Arkansas, 71832, United States",8.0,1,0,0
41929,902,West,,Freeman,Avenue,,Carroll County,902 W Freeman Ave,,Berryville,Arkansas,72616,AR,"902 W FREEMAN AVE, BERRYVILLE, AR 72616",36.368545118333536,-93.57383498765893,POINT (-93.57383498765893 36.36854511833354),"902,West  Freeman Avenue , Berryville, Carroll County, Arkansas, 72616, United States",7.0,1,0,0
34925,735,South,,Neeley,Street,,Saline County,735 S Neeley St,,Benton,Arkansas,72015,AR,"735 S NEELEY ST, BENTON, AR 72015",34.55617722372651,-92.57909575090812,POINT (-92.57909575090812 34.55617722372651),"735,South  Neeley Street , Benton, Saline County, Arkansas, 72015, United States",1.0,0,0,0
17844,4156,North,,Steele,Boulevard,,Washington County,4156 N Steele Blvd,,Fayetteville,Arkansas,72703,AR,"4156 N STEELE BLVD, FAYETTEVILLE, AR 72703",36.12637320400005,-94.15389171799994,POINT (-94.15389171799994 36.12637320400005),"4156,North  Steele Boulevard , Fayetteville, Washington County, Arkansas, 72703, United States",1.0,0,0,0
37297,5124,,,Camp Robinson,Road,,Pulaski County,5124 Camp Robinson Rd,,North Little Rock,Arkansas,72118,AR,"5124 CAMP ROBINSON RD, NORTH LITTLE ROCK, AR 72118",34.80163736586894,-92.26653645383568,POINT (-92.26653645383568 34.80163736586894),"5124,  Camp Robinson Road , North Little Rock, Pulaski County, Arkansas, 72118, United States",1.0,0,0,0
26186,1205,,,Mclain,Street,,Jackson County,1205 Mclain Street,,Newport,Arkansas,72112,AR,"1205 MCLAIN STREET, NEWPORT, AR 72112",35.60856885,-91.2650600599999,POINT (-91.2650600599999 35.60856885),"1205,  Mclain Street , Newport, Jackson County, Arkansas, 72112, United States",7.0,1,0,0
26780,1090,,,Arnold,Drive,,Pulaski County,1090 Arnold Drive,,Little Rock Afb,Arkansas,72099,AR,"1090 ARNOLD DRIVE, LITTLE ROCK AFB, AR 72099",34.8956635600001,-92.14981865,POINT (-92.14981865 34.8956635600001),"1090,  Arnold Drive , Little Rock Afb, Pulaski County, Arkansas, 72099, United States",1.0,0,0,0
40984,3901,,,Virginia,Avenue,,Pulaski County,3901 Virginia Ave,,North Little Rock,Arkansas,72117,AR,"3901 VIRGINIA AVE, NORTH LITTLE ROCK, AR 72117",34.79134231608288,-92.29183383688992,POINT (-92.29183383688992 34.79134231608288),"3901,  Virginia Avenue , North Little Rock, Pulaski County, Arkansas, 72117, United States",1.0,0,0,0
17534,1900,South,,Hazel,Street,,Jefferson County,1900 S Hazel Street,,Pine Bluff,Arkansas,71603,AR,"1900 S HAZEL STREET, PINE BLUFF, AR 71603",34.20993976800002,-92.02584458799998,POINT (-92.02584458799998 34.20993976800002),"1900,South  Hazel Street , Pine Bluff, Jefferson County, Arkansas, 71603, United States",1.0,0,0,0
26183,130,,,Medical,Circle,,Howard County,130 Medical Circle,,Nashville,Arkansas,71852,AR,"130 MEDICAL CIRCLE, NASHVILLE, AR 71852",33.94972276,-93.8805491799999,POINT (-93.8805491799999 33.94972276),"130,  Medical Circle , Nashville, Howard County, Arkansas, 71852, United States",8.0,1,0,0
26189,880,West,,Main,Street,,Logan County,880 West Main Street,,Booneville,Arkansas,72927,AR,"880 WEST MAIN STREET, BOONEVILLE, AR 72927",35.1403219200001,-93.93517063,POINT (-93.93517063 35.1403219200001),"880,West  Main Street , Booneville, Logan County, Arkansas, 72927, United States",7.0,1,0,0
35370,878,East,,Gaines,Street,,Chicot County,878 East Gaines Street,,Dermott,Arkansas,71638,AR,"878 EAST GAINES STREET, DERMOTT, AR 71638",33.51815075336878,-91.41508144110664,POINT (-91.41508144110664 33.51815075336878),"878,East  Gaines Street , Dermott, Chicot County, Arkansas, 71638, United States",8.0,1,0,0
35301,302,,,Corrections,Drive,,Jackson County,302 Corrections Drive,,Newport,Arkansas,72112,AR,"302 CORRECTIONS DRIVE, NEWPORT, AR 72112",35.625985469879,-91.19365582988137,POINT (-91.19365582988137 35.625985469879),"302,  Corrections Drive , Newport, Jackson County, Arkansas, 72112, United States",8.0,1,0,0
16777,1515,,,Pioneer,Drive,,Boone County,1515 Pioneer Dr,,Harrison,Arkansas,72601,AR,"1515 PIONEER DR, HARRISON, AR 72601",36.21991899600005,-93.08844046099996,POINT (-93.08844046099996 36.21991899600005),"1515,  Pioneer Drive , Harrison, Boone County, Arkansas, 72601, United States",4.0,1,0,0
9185,1117,West,Route,66,,,Coconino County,1117 W Route 66,,Flagstaff,Arizona,86001,AZ,"1117 W ROUTE 66, FLAGSTAFF, AZ 86001",35.18950800034525,-111.6658440001696,POINT (-111.6658440001696 35.18950800034525),"1117,West Route 66  , Flagstaff, Coconino County, Arizona, 86001, United States",1.0,0,0,0
9030,350,West,,Thomas,Road,,Maricopa County,350 W Thomas Rd,,Phoenix,Arizona,85013,AZ,"350 W THOMAS RD, PHOENIX, AZ 85013",33.48034699984987,-112.07977200030363,POINT (-112.0797720003036 33.48034699984987),"350,West  Thomas Road , Phoenix, Maricopa County, Arizona, 85013, United States",1.0,0,0,0
13772,1265,South,,Solomon,,,Maricopa County,1265 S Solomon,,Mesa,Arizona,85204,AZ,"1265 S SOLOMON, MESA, AZ 85204",33.39169100016358,-111.8097990001952,POINT (-111.8097990001952 33.39169100016358),"1265,South  Solomon  , Mesa, Maricopa County, Arizona, 85204, United States",1.0,0,0,0
12824,555,South,,La Canada,Drive,,Pima County,555 S La Canada Dr,,Green Valley,Arizona,85614,AZ,"555 S LA CANADA DR, GREEN VALLEY, AZ 85614",31.862285999892723,-110.99655900012984,POINT (-110.9965590001298 31.86228599989272),"555,South  La Canada Drive , Green Valley, Pima County, Arizona, 85614, United States",2.0,0,0,0
8485,130,,,View Dri,,,Yavapai County,130 View Dri,,Sedona,Arizona,86336,AZ,"130 VIEW DRI, SEDONA, AZ 86336",34.8616650000789,-111.78951099955933,POINT (-111.7895109995593 34.8616650000789),"130,  View Dri  , Sedona, Yavapai County, Arizona, 86336, United States",7.0,1,0,0
7061,11840,North,,30th,Street,,Maricopa County,11840 N 30Th St,,Phoenix,Arizona,85028,AZ,"11840 N 30TH ST, PHOENIX, AZ 85028",33.59485000008479,-112.01749499965804,POINT (-112.017494999658 33.59485000008479),"11840,North  30th Street , Phoenix, Maricopa County, Arizona, 85028, United States",1.0,0,0,0
13639,5947,West,,Audrey,Lane,,Maricopa County,5947 W Audrey Ln,,Glendale,Arizona,85308,AZ,"5947 W AUDREY LN, GLENDALE, AZ 85308",33.653642999900455,-112.18711100010366,POINT (-112.1871110001037 33.65364299990046),"5947,West  Audrey Lane , Glendale, Maricopa County, Arizona, 85308, United States",1.0,0,0,0
9009,740,South,,University Heights,Drive,,Coconino County,740 S University Heights Dr,,Flagstaff,Arizona,86001,AZ,"740 S UNIVERSITY HEIGHTS DR, FLAGSTAFF, AZ 86001",35.19777999972492,-111.65043000044884,POINT (-111.6504300004488 35.19777999972492),"740,South  University Heights Drive , Flagstaff, Coconino County, Arizona, 86001, United States",1.0,0,0,0
13337,23914,South,,Alma School,Road,,Maricopa County,23914 S Alma School Rd,,Sun Lakes,Arizona,85248,AZ,"23914 S ALMA SCHOOL RD, SUN LAKES, AZ 85248",33.229971000345564,-111.85843399988325,POINT (-111.8584339998832 33.22997100034556),"23914,South  Alma School Road , Sun Lakes, Maricopa County, Arizona, 85248, United States",1.0,0,0,0
26048,1400,North,,Wilmot,Road,,Pima County,1400 North Wilmot Road,,Tucson,Arizona,85712,AZ,"1400 NORTH WILMOT ROAD, TUCSON, AZ 85712",32.2398469,-110.8556645,POINT (-110.8556645 32.2398469),"1400,North  Wilmot Road , Tucson, Pima County, Arizona, 85712, United States",1.0,0,0,0
9419,1100,,,Riverside,Drive,,Mohave County,1100 Riverside Dr,LOT 16,Lk Havasu Cty,Arizona,86404,AZ,"1100 RIVERSIDE DR LOT 16, LK HAVASU CTY, AZ 86404",34.57358800005108,-114.38819000032134,POINT (-114.3881900003213 34.57358800005108),"1100,  Riverside Drive , Lk Havasu Cty, Mohave County, Arizona, 86404, United States",1.0,0,0,0
6072,1608,West,,2nd,Street,,Navajo County,1608 W 2Nd St,,Winslow,Arizona,86047,AZ,"1608 W 2ND ST, WINSLOW, AZ 86047",35.03013300025826,-110.71377300034064,POINT (-110.7137730003406 35.03013300025826),"1608,West  2nd Street , Winslow, Navajo County, Arizona, 86047, United States",7.0,1,0,0
12813,331,South,,Cooper,Road,,Maricopa County,331 S Cooper Rd,,Gilbert,Arizona,85233,AZ,"331 S COOPER RD, GILBERT, AZ 85233",33.34314099974098,-111.80695899978068,POINT (-111.8069589997807 33.34314099974098),"331,South  Cooper Road , Gilbert, Maricopa County, Arizona, 85233, United States",1.0,0,0,0
35997,2500,East,,Van Buren,Street,,Maricopa County,2500 E Van Buren St,,Phoenix,Arizona,85008,AZ,"2500 E VAN BUREN ST, PHOENIX, AZ 85008",33.453129876952616,-112.02503992166476,POINT (-112.0250399216648 33.45312987695262),"2500,East  Van Buren Street , Phoenix, Maricopa County, Arizona, 85008, United States",1.0,0,0,0
9006,25418,North,,7th,Avenue,,Maricopa County,25418 N 7Th Ave,,Phoenix,Arizona,85085,AZ,"25418 N 7TH AVE, PHOENIX, AZ 85085",33.717099999914915,-112.08284500034664,POINT (-112.0828450003466 33.71709999991491),"25418,North  7th Avenue , Phoenix, Maricopa County, Arizona, 85085, United States",1.0,0,0,0
15762,3849,East,,Broadway,Boulevard,,Pima County,3849 E Broadway Blvd,209,Tucson,Arizona,85716,AZ,"3849 E BROADWAY BLVD 209, TUCSON, AZ 85716",32.22167800017958,-110.91005100021556,POINT (-110.9100510002156 32.22167800017958),"3849,East  Broadway Boulevard , Tucson, Pima County, Arizona, 85716, United States",1.0,0,0,0
7953,3032,West,,Betty Elyse,Lane,,Maricopa County,3032 W Betty Elyse Ln,,Phoenix,Arizona,85053,AZ,"3032 W BETTY ELYSE LN, PHOENIX, AZ 85053",33.62644000029752,-112.1235709996096,POINT (-112.1235709996096 33.62644000029752),"3032,West  Betty Elyse Lane , Phoenix, Maricopa County, Arizona, 85053, United States",1.0,0,0,0
5239,13260,,,Central,Avenue,,Yavapai County,13260 Central Ave,,Cordes Lakes,Arizona,86333,AZ,"13260 CENTRAL AVE, CORDES LAKES, AZ 86333",34.39846599982922,-112.23083599978985,POINT (-112.2308359997898 34.39846599982922),"13260,  Central Avenue , Cordes Lakes, Yavapai County, Arizona, 86333, United States",10.0,1,0,0
37246,3511,,,Verde Valley School,Road,,Yavapai County,3511 Verde Valley School Rd,,Sedona,Arizona,86351,AZ,"3511 VERDE VALLEY SCHOOL RD, SEDONA, AZ 86351",34.80304493712969,-111.80683915194535,POINT (-111.8068391519454 34.80304493712969),"3511,  Verde Valley School Road , Sedona, Yavapai County, Arizona, 86351, United States",7.0,1,0,0
12660,1621,North,,Andros,Place,,Pima County,1621 N Andros Pl,,Tucson,Arizona,85745,AZ,"1621 N ANDROS PL, TUCSON, AZ 85745",32.24201100004097,-111.03633399971388,POINT (-111.0363339997139 32.24201100004097),"1621,North  Andros Place , Tucson, Pima County, Arizona, 85745, United States",1.0,0,0,0
5922,9661,North,,59th,Avenue,,Maricopa County,9661 N 59Th Ave,,Glendale,Arizona,85302,AZ,"9661 N 59TH AVE, GLENDALE, AZ 85302",33.57252999989208,-112.1861999997094,POINT (-112.1861999997094 33.57252999989208),"9661,North  59th Avenue , Glendale, Maricopa County, Arizona, 85302, United States",1.0,0,0,0
13485,3252,West,,Vista Bonita,Drive,,Maricopa County,3252 W Vista Bonita Dr,,Phoenix,Arizona,85027,AZ,"3252 W VISTA BONITA DR, PHOENIX, AZ 85027",33.697027999973166,-112.13032900033924,POINT (-112.1303290003392 33.69702799997317),"3252,West  Vista Bonita Drive , Phoenix, Maricopa County, Arizona, 85027, United States",1.0,0,0,0
38584,783,,,Mcnell,Road,,Ventura County,783 Mcnell Rd,,Ojai,California,93023,CA,"783 MCNELL RD, OJAI, CA 93023",34.45652349503494,-119.19802353607044,POINT (-119.1980235360704 34.45652349503494),"783,  Mcnell Road , Ojai, Ventura County, California, 93023, United States",1.0,0,0,0
37500,818,West,,Gladstone,Street,,Los Angeles County,818 W Gladstone St,,San Dimas,California,91773,CA,"818 W GLADSTONE ST, SAN DIMAS, CA 91773",34.105939829940105,-117.82522787458298,POINT (-117.825227874583 34.10593982994011),"818,West  Gladstone Street , San Dimas, Los Angeles County, California, 91773, United States",1.0,0,0,0
36732,7400,,,Steve Olsen,Lane,,Sonoma County,7400 Steve Olsen Lane,,Forestville,California,95436,CA,"7400 STEVE OLSEN LANE, FORESTVILLE, CA 95436",38.50419544874308,-122.86910644858976,POINT (-122.8691064485898 38.50419544874308),"7400,  Steve Olsen Lane , Forestville, Sonoma County, California, 95436, United States",1.0,0,0,0
37900,4061,,,Ibis,Street,,San Diego County,4061 Ibis St,,San Diego,California,92103,CA,"4061 IBIS ST, SAN DIEGO, CA 92103",32.7510503717783,-117.17315924776182,POINT (-117.1731592477618 32.7510503717783),"4061,  Ibis Street , San Diego, San Diego County, California, 92103, United States",1.0,0,0,0
38436,2200,,,Carlmont,Drive,,San Mateo County,2200 Carlmont Dr,,Belmont,California,94002,CA,"2200 CARLMONT DR, BELMONT, CA 94002",37.51089287398842,-122.29709742638008,POINT (-122.2970974263801 37.51089287398842),"2200,  Carlmont Drive , Belmont, San Mateo County, California, 94002, United States",1.0,0,0,0
38020,67,West,,Bellevue,Drive,,Los Angeles County,67 W Bellevue Dr,,Pasadena,California,91105,CA,"67 W BELLEVUE DR, PASADENA, CA 91105",34.13876741684372,-118.15379216677796,POINT (-118.153792166778 34.13876741684372),"67,West  Bellevue Drive , Pasadena, Los Angeles County, California, 91105, United States",1.0,0,0,0
17565,2201,,,Blue Gum,Avenue,,Stanislaus County,2201 Blue Gum Ave,,Modesto,California,95358,CA,"2201 BLUE GUM AVE, MODESTO, CA 95358",37.66107026100008,-121.04024632099998,POINT (-121.040246321 37.66107026100008),"2201,  Blue Gum Avenue , Modesto, Stanislaus County, California, 95358, United States",1.0,0,0,0
38360,2750,,,Jackson,Street,,San Francisco County,2750 Jackson St,,San Francisco,California,94115,CA,"2750 JACKSON ST, SAN FRANCISCO, CA 94115",37.7920281938995,-122.4400222447261,POINT (-122.4400222447261 37.7920281938995),"2750,  Jackson Street , San Francisco, San Francisco County, California, 94115, United States",1.0,0,0,0
16654,611,,,Orange,Drive,,Solano County,611 Orange Dr,STE K,Vacaville,California,95687,CA,"611 ORANGE DR STE K, VACAVILLE, CA 95687",38.37854848700005,-121.94560555899992,POINT (-121.9456055589999 38.37854848700005),"611,  Orange Drive , Vacaville, Solano County, California, 95687, United States",1.0,0,0,0
36744,1023,,,14th,Street,,Yuba County,1023 14Th St,,Marysville,California,95901,CA,"1023 14TH ST, MARYSVILLE, CA 95901",39.15053321548855,-121.59901636930296,POINT (-121.599016369303 39.15053321548855),"1023,  14th Street , Marysville, Yuba County, California, 95901, United States",1.0,0,0,0
26252,500,West,,Hospital,Road,,San Joaquin County,500 W Hospital Road,,French Camp,California,95231,CA,"500 W HOSPITAL ROAD, FRENCH CAMP, CA 95231",37.88672574,-121.2826766,POINT (-121.2826766 37.88672574),"500,West  Hospital Road , French Camp, San Joaquin County, California, 95231, United States",1.0,0,0,0
17626,2701,,,Fairview,Road,,Orange County,2701 Fairview Road,,Costa Mesa,California,92626,CA,"2701 FAIRVIEW ROAD, COSTA MESA, CA 92626",33.67017060500007,-117.911400631,POINT (-117.911400631 33.67017060500007),"2701,  Fairview Road , Costa Mesa, Orange County, California, 92626, United States",1.0,0,0,0
38237,4543,,,Crown,Avenue,,Los Angeles County,4543 Crown Ave,,La Canada Flintridge,California,91011,CA,"4543 CROWN AVE, LA CANADA FLINTRIDGE, CA 91011",34.19812034509862,-118.18449639813626,POINT (-118.1844963981363 34.19812034509862),"4543,  Crown Avenue , La Canada Flintridge, Los Angeles County, California, 91011, United States",1.0,0,0,0
38172,10044,,,Compton,Avenue,,Los Angeles County,10044 Compton Ave,,Los Angeles,California,90002,CA,"10044 COMPTON AVE, LOS ANGELES, CA 90002",33.94517555391189,-118.24545210994955,POINT (-118.2454521099496 33.94517555391189),"10044,  Compton Avenue , Los Angeles, Los Angeles County, California, 90002, United States",1.0,0,0,0
31270,18700,,,Ventura,Boulevard,,Los Angeles County,18700 Ventura Blvd,Ste 110,Tarzana,California,91356,CA,"18700 Ventura Blvd Ste 110, Tarzana, CA 91356",34.17019200017585,-118.5411789998716,POINT (-118.5411789998716 34.17019200017585),"18700,  Ventura Boulevard , Tarzana, Los Angeles County, California, 91356, United States",1.0,0,0,0
33716,140,East,,Lime,Avenue,,Los Angeles County,140 E Lime Avenue,,Monrovia,California,91016,CA,"140 E LIME AVENUE, MONROVIA, CA 91016",34.147895966439854,-117.99925660993826,POINT (-117.9992566099383 34.14789596643985),"140,East  Lime Avenue , Monrovia, Los Angeles County, California, 91016, United States",1.0,0,0,0
