index,Location_id,address_1,address_2,city,state,zip,county,location_source_value,latitude,longitude,address_type,state_abbr,flag,geometry,ZCTA5CE20,NAMELSAD_COUNTY_20,county_match
38,193,Po Box 584,,Rumford,Maine,04276,Oxford County,"PO BOX 584, RUMFORD, ME 04276",44.54863300024773,-70.5510580001194,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-70.5510580001194 44.54863300024773),04276,Oxford County,1
39,194,Po Box 907,,Caribou,Maine,04736,Aroostook County,"PO BOX 907, CARIBOU, ME 04736",46.85971899987212,-68.0109619999939,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-68.0109619999939 46.85971899987212),04736,Aroostook County,1
43,195,Po Box 521,,York,Maine,03909,York County,"PO BOX 521, YORK, ME 03909",43.142595999949926,-70.644764000081,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-70.644764000081 43.14259599994993),03909,York County,1
49,199,Po Box 215,,Ft Kent,Maine,04743,Aroostook County,"PO BOX 215, FT KENT, ME 04743",47.2515860000368,-68.59398900036463,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-68.59398900036463 47.2515860000368),04743,Aroostook County,1
50,200,Po Box 22,,Columbia Fls,Maine,04623,Washington County,"PO BOX 22, COLUMBIA FLS, ME 04623",44.70304399997882,-67.75781399959267,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-67.75781399959267 44.70304399997882),04623,Washington County,1
51,202,Po Box 116,,Lincoln,Maine,04457,Penobscot County,"PO BOX 116, LINCOLN, ME 04457",45.42420700006308,-68.483005000061,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-68.483005000061 45.42420700006308),04457,Penobscot County,1
52,205,Church St,,Westfield,Maine,04787,Aroostook County,"CHURCH ST, WESTFIELD, ME 04787",46.57110599984699,-67.91904500031052,Ambiguous,ME,FAILED DUE TO STREET ADDRESS STARTS WITH LETTER,POINT (-67.91904500031052 46.57110599984699),04787,Aroostook County,1
55,208,Po Box 236,,Kennebunk,Maine,04043,York County,"PO BOX 236, KENNEBUNK, ME 04043",43.384105999996194,-70.5460469998352,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-70.5460469998352 43.38410599999619),04043,York County,1
58,215,Po Box 250,,Danforth,Maine,04424,Washington County,"PO BOX 250, DANFORTH, ME 04424",45.6632989998533,-67.86600100003777,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-67.86600100003777 45.6632989998533),04424,Washington County,1
61,220,R 2,,Oakland,Maine,04963,Kennebec County,"R 2, OAKLAND, ME 04963",44.54478799989938,-69.71732899957667,PO Box,ME,FAILED DUE TO STREET ADDRESS STARTS WITH LETTER,POINT (-69.71732899957667 44.54478799989938),04963,Kennebec County,1
65,221,Po Box 92,,Rockwood,Maine,04478,Somerset County,"PO BOX 92, ROCKWOOD, ME 04478",45.905515000227936,-69.77767300000401,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-69.77767300000401 45.90551500022794),04478,Somerset County,1
66,222,LOCAL,, KINGMAN,Maine,04451,Aroostook County,"LOCAL, KINGMAN, ME 04451",45.63902300014285,-68.26364099986675,,ME,FAILED DUE TO STREET ADDRESS STARTS WITH LETTER,POINT (-68.26364099986675 45.63902300014285),04451,Aroostook County,1
69,223,Box 1390,,Hudson,Maine,04449,Penobscot County,"BOX 1390, HUDSON, ME 04449",44.9989310000601,-68.85211200016673,PO Box,ME,FAILED DUE TO STREET ADDRESS STARTS WITH LETTER,POINT (-68.85211200016673 44.9989310000601),04449,Penobscot County,1
73,225,Main St,,Westbrook,Maine,04092,Cumberland County,"MAIN ST, WESTBROOK, ME 04092",43.68148100017429,-70.35107899966437,Ambiguous,ME,FAILED DUE TO STREET ADDRESS STARTS WITH LETTER,POINT (-70.35107899966437 43.68148100017429),04092,Cumberland County,1
75,227,Po Box 17,,Corinth,Maine,04427,Penobscot County,"PO BOX 17, CORINTH, ME 04427",45.00221999982347,-69.02540199963163,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-69.02540199963163 45.00221999982347),04427,Penobscot County,1
78,228,Po Box 47,,Etna,Maine,04434,Penobscot County,"PO BOX 47, ETNA, ME 04434",44.81552800019517,-69.10336300033468,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-69.10336300033468 44.81552800019517),04434,Penobscot County,1
80,230,Po Box 131,,Abbot,Maine,04406,Piscataquis County,"PO BOX 131, ABBOT, ME 04406",45.26702599995522,-69.58577299985335,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-69.58577299985335 45.26702599995522),04406,Piscataquis County,1
83,231,Po Box 273,,Monson,Maine,04464,Piscataquis County,"PO BOX 273, MONSON, ME 04464",45.280376000196384,-69.50161499990887,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-69.50161499990887 45.28037600019638),04464,Piscataquis County,1
85,232,Po Box 423,,Madawaska,Maine,04756,Aroostook County,"PO BOX 423, MADAWASKA, ME 04756",47.35411699999547,-68.32613000022447,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-68.32613000022447 47.35411699999547),04756,Aroostook County,1
87,241,Po Box 1465,,North Windham,Maine,04062,Cumberland County,"PO BOX 1465, NORTH WINDHAM, ME 04062",43.836720000177735,-70.44081199995763,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-70.44081199995763 43.83672000017773),04062,Cumberland County,1
88,242,Po Box 280,,Bridgewater,Maine,04735,Aroostook County,"PO BOX 280, BRIDGEWATER, ME 04735",46.42354000010282,-67.84447700021595,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-67.84447700021595 46.42354000010282),04735,Aroostook County,1
89,244,Po Box 356,,Bridgewater,Maine,04735,Aroostook County,"PO BOX 356, BRIDGEWATER, ME 04735",46.42354000010282,-67.84447700021595,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-67.84447700021595 46.42354000010282),04735,Aroostook County,1
91,246,Po Box 116,,Ellsworth,Maine,04605,Hancock County,"PO BOX 116, ELLSWORTH, ME 04605",44.54267999985673,-68.42410199975735,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-68.42410199975735 44.54267999985673),04605,Hancock County,1
97,248,Po Box 294,,Warren,Maine,04864,Knox County,"PO BOX 294, WARREN, ME 04864",44.0876620001982,-69.2595729998243,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-69.2595729998243 44.0876620001982),04864,Knox County,1
99,252,31 Central St Suites 203-205,,Bangor,Maine,04401,Penobscot County,"31 CENTRAL ST SUITES 203-205, BANGOR, ME 04401",44.80289000021885,-68.77113900041827,Street Address,ME,FAILED DUE TO PRESENCE OF SPECIAL CHARACTERS,POINT (-68.77113900041827 44.80289000021885),04401,Penobscot County,1
101,253,Po Box 82,,Fort Kent,Maine,04743,Aroostook County,"PO BOX 82, FORT KENT, ME 04743",47.2515860000368,-68.59398900036463,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-68.59398900036463 47.2515860000368),04743,Aroostook County,1
102,254,Po Box 213,,Poland,Maine,04274,Androscoggin County,"PO BOX 213, POLAND, ME 04274",44.01623099988497,-70.36594099991437,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-70.36594099991437 44.01623099988497),04274,Androscoggin County,1
105,258,Po Box 242,,New Vineyard,Maine,04956,Franklin County,"PO BOX 242, NEW VINEYARD, ME 04956",44.81183499992064,-70.14231799982153,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-70.14231799982153 44.81183499992064),04956,Franklin County,1
106,259,Po Box 161,,Waldoboro,Maine,04572,Lincoln County,"PO BOX 161, WALDOBORO, ME 04572",44.09512099973308,-69.37916100013882,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-69.37916100013882 44.09512099973308),04572,Lincoln County,1
108,260,Po Box 190,,Lubec,Maine,04652,Washington County,"PO BOX 190, LUBEC, ME 04652",44.858870999729554,-66.98805100041467,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-66.98805100041467 44.85887099972955),04652,Washington County,1
111,264,Rfd 1 Middle Rd,,"Warren, Warren",Maine,04864,Knox County,"RFD 1 MIDDLE RD WARREN, WARREN, ME 04864",44.0876620001982,-69.2595729998243,Street Address,ME,FAILED DUE TO STREET ADDRESS STARTS WITH LETTER,POINT (-69.2595729998243 44.0876620001982),04864,Knox County,1
113,265,Po Box 206,,Newcastle,Maine,04553,Lincoln County,"PO BOX 206, NEWCASTLE, ME 04553",44.03636099987074,-69.53575200029326,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-69.53575200029326 44.03636099987074),04553,Lincoln County,1
114,266,Po Box 553,,Caribou,Maine,04736,Aroostook County,"PO BOX 553, CARIBOU, ME 04736",46.85971899987212,-68.0109619999939,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-68.0109619999939 46.85971899987212),04736,Aroostook County,1
119,268,Po Box 401,,Milbridge,Maine,04658,Washington County,"PO BOX 401, MILBRIDGE, ME 04658",44.534030000066174,-67.88550200012797,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-67.88550200012797 44.53403000006617),04658,Washington County,1
121,269,Morgan Bay Road,,Surry,Maine,04684,Hancock County,"MORGAN BAY ROAD, SURRY, ME 04684",44.47043300008771,-68.49344699985562,Ambiguous,ME,FAILED DUE TO STREET ADDRESS STARTS WITH LETTER,POINT (-68.49344699985562 44.47043300008771),04684,Hancock County,1
122,270,Po Box 138,,Steep Falls,Maine,04085,Cumberland County,"PO BOX 138, STEEP FALLS, ME 04085",43.74648800020846,-70.63826399999256,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-70.63826399999256 43.74648800020846),04085,Cumberland County,1
123,271,Rr 1 Box 476A,,Old Town,Maine,04468,Penobscot County,"RR 1 BOX 476A, OLD TOWN, ME 04468",44.93274099996827,-68.64737199967279,PO Box,ME,FAILED DUE TO STREET ADDRESS STARTS WITH LETTER,POINT (-68.64737199967279 44.93274099996827),04468,Penobscot County,1
125,272,Po Box 269,,Rumford,Maine,04276,Oxford County,"PO BOX 269, RUMFORD, ME 04276",44.54863300024773,-70.5510580001194,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-70.5510580001194 44.54863300024773),04276,Oxford County,1
126,273,Po Box 293,,Belfast,Maine,04915,Waldo County,"PO BOX 293, BELFAST, ME 04915",44.42173200023765,-69.00402099992493,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-69.00402099992493 44.42173200023765),04915,Waldo County,1
127,276,Po Box 66853,,Falmouth,Maine,04105,Cumberland County,"PO BOX 66853, FALMOUTH, ME 04105",43.719010999715934,-70.23347200014699,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-70.23347200014699 43.71901099971593),04105,Cumberland County,1
128,277,Po Box 211,,Topsham,Maine,04086,Sagadahoc County,"PO BOX 211, TOPSHAM, ME 04086",43.9299369997706,-69.9646189997719,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-69.9646189997719 43.9299369997706),04086,Sagadahoc County,1
130,281,Po Box 44,,Orono,Maine,04473,Penobscot County,"PO BOX 44, ORONO, ME 04473",44.88693499985378,-68.66569500030336,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-68.66569500030336 44.88693499985378),04473,Penobscot County,1
133,283,Box 377 Rr 1,,Liverty,Maine,04949,Waldo County,"BOX 377 RR 1, LIVERTY, ME 04949",44.39301899994221,-69.31692299985129,PO Box,ME,FAILED DUE TO STREET ADDRESS STARTS WITH LETTER,POINT (-69.31692299985129 44.39301899994221),04949,Waldo County,1
135,285,Po Box 281,,Lisbon Falls,Maine,04252,Androscoggin County,"PO BOX 281, LISBON FALLS, ME 04252",44.00123300003143,-70.05890200021689,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-70.05890200021689 44.00123300003143),04252,Androscoggin County,1
136,286,Po Box 275,,Livermore Fls,Maine,04254,Androscoggin County,"PO BOX 275, LIVERMORE FLS, ME 04254",44.47529799986402,-70.18757599969288,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-70.18757599969288 44.47529799986402),04254,Androscoggin County,1
137,287,Po Box 316,,Lubec,Maine,04652,Washington County,"PO BOX 316, LUBEC, ME 04652",44.858870999729554,-66.98805100041467,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-66.98805100041467 44.85887099972955),04652,Washington County,1
138,288,Po Box 530,,South China,Maine,04358,Kennebec County,"PO BOX 530, SOUTH CHINA, ME 04358",44.39537699987271,-69.57124399968927,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-69.57124399968927 44.39537699987271),04358,Kennebec County,1
140,290,Po Box 103,,Eliot,Maine,03903,York County,"PO BOX 103, ELIOT, ME 03903",43.13100500020504,-70.7989890003721,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-70.7989890003721 43.13100500020504),03903,York County,1
141,294,Po Box 26,,Steep Falls,Maine,04085,Cumberland County,"PO BOX 26, STEEP FALLS, ME 04085",43.74648800020846,-70.63826399999256,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-70.63826399999256 43.74648800020846),04085,Cumberland County,1
142,295,Po Box 8,,Saint Francis,Maine,04774,Aroostook County,"PO BOX 8, SAINT FRANCIS, ME 04774",47.11129600001138,-69.0890159997455,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-69.0890159997455 47.11129600001138),04774,Aroostook County,1
143,296,Po Box 70,,Sunset,Maine,04683,Hancock County,"PO BOX 70, SUNSET, ME 04683",44.2065410003125,-68.70406200027402,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-68.70406200027402 44.2065410003125),04683,Hancock County,1
145,298,Po Box 209,,Searsport,Maine,04974,Waldo County,"PO BOX 209, SEARSPORT, ME 04974",44.457863999832206,-68.92328500000296,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-68.92328500000296 44.45786399983221),04974,Waldo County,1
147,299,Po Box 208,,Raymond,Maine,04071,Cumberland County,"PO BOX 208, RAYMOND, ME 04071",43.88361100005324,-70.46574100008354,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-70.46574100008354 43.88361100005324),04071,Cumberland County,1
148,301,Po Box 737,,Kennebunk,Maine,04043,York County,"PO BOX 737, KENNEBUNK, ME 04043",43.384105999996194,-70.5460469998352,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-70.5460469998352 43.38410599999619),04043,York County,1
149,302,E Thorndike Rd,,Thorndike,Maine,04986,Waldo County,"E THORNDIKE RD, THORNDIKE, ME 04986",44.59580999974781,-69.22763800017,Ambiguous,ME,FAILED DUE TO STREET ADDRESS STARTS WITH LETTER,POINT (-69.22763800017 44.59580999974781),04986,Waldo County,1
151,304,Po Box 142,,Hudson,Maine,04449,Penobscot County,"PO BOX 142, HUDSON, ME 04449",44.9989310000601,-68.85211200016673,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-68.85211200016673 44.9989310000601),04449,Penobscot County,1
154,310,Po Box A,,Newport,Maine,04953,Penobscot County,"PO BOX A, NEWPORT, ME 04953",44.83679999989614,-69.27464199976355,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-69.27464199976355 44.83679999989614),04953,Penobscot County,1
155,311,Po Box 22,,Belgrade,Maine,04917,Kennebec County,"PO BOX 22, BELGRADE, ME 04917",44.52284099983806,-69.79742599998927,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-69.79742599998927 44.52284099983806),04917,Kennebec County,1
157,313,Po Box 122,,Pittsfield,Maine,04967,Somerset County,"PO BOX 122, PITTSFIELD, ME 04967",44.78381000011217,-69.38403599998057,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-69.38403599998057 44.78381000011217),04967,Somerset County,1
160,316,Po Box 8056,,Waterville,Maine,04901,Kennebec County,"PO BOX 8056, WATERVILLE, ME 04901",44.54942099984682,-69.63566200006728,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-69.63566200006728 44.54942099984682),04901,Kennebec County,1
163,317,Po Box 800,,Denmark,Maine,04022,Oxford County,"PO BOX 800, DENMARK, ME 04022",43.977890000087406,-70.80924500039389,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-70.80924500039389 43.97789000008741),04022,Oxford County,1
165,318,Rr 1 Box 2250,,Corinth,Maine,04427,Penobscot County,"RR 1 BOX 2250, CORINTH, ME 04427",45.00221999982347,-69.02540199963163,PO Box,ME,FAILED DUE TO STREET ADDRESS STARTS WITH LETTER,POINT (-69.02540199963163 45.00221999982347),04427,Penobscot County,1
168,319,Po Box 775,,Jackman,Maine,04945,Somerset County,"PO BOX 775, JACKMAN, ME 04945",45.6238140003047,-70.25406000035852,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-70.25406000035852 45.6238140003047),04945,Somerset County,1
170,320,Po Box 896,,Jackman,Maine,04945,Somerset County,"PO BOX 896, JACKMAN, ME 04945",45.6238140003047,-70.25406000035852,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-70.25406000035852 45.6238140003047),04945,Somerset County,1
173,323,Po Box 280,,Oakfield,Maine,04763,Aroostook County,"PO BOX 280, OAKFIELD, ME 04763",46.09988300014852,-68.15436100035086,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-68.15436100035086 46.09988300014852),04763,Aroostook County,1
176,326,Po Box 274,,Skowhegan,Maine,04976,Somerset County,"PO BOX 274, SKOWHEGAN, ME 04976",44.76750599969785,-69.71732100007907,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-69.71732100007907 44.76750599969785),04976,Somerset County,1
179,328,Po Box 706,,South China,Maine,04358,Kennebec County,"PO BOX 706, SOUTH CHINA, ME 04358",44.39537699987271,-69.57124399968927,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-69.57124399968927 44.39537699987271),04358,Kennebec County,1
180,329,Po Box 203,,South China,Maine,04358,Kennebec County,"PO BOX 203, SOUTH CHINA, ME 04358",44.39537699987271,-69.57124399968927,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-69.57124399968927 44.39537699987271),04358,Kennebec County,1
181,333,Po Box 22,,Stockholm,Maine,04783,Aroostook County,"PO BOX 22, STOCKHOLM, ME 04783",47.04741700003407,-68.20672699985785,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-68.20672699985785 47.04741700003407),04783,Aroostook County,1
182,334,Po Box 6095,,China Village,Maine,04926,Kennebec County,"PO BOX 6095, CHINA VILLAGE, ME 04926",44.48172100003606,-69.51675099979525,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-69.51675099979525 44.48172100003606),04926,Kennebec County,1
185,337,Po Box 68,,Palmyra,Maine,04965,Somerset County,"PO BOX 68, PALMYRA, ME 04965",44.82288800027796,-69.30336100015795,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-69.30336100015795 44.82288800027796),04965,Somerset County,1
187,338,Po Box 87,,Raymond,Maine,04071,Cumberland County,"PO BOX 87, RAYMOND, ME 04071",43.88361100005324,-70.46574100008354,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-70.46574100008354 43.88361100005324),04071,Cumberland County,1
188,339,Po Box 60,,Gray,Maine,04039,Cumberland County,"PO BOX 60, GRAY, ME 04039",43.88742099969205,-70.32952200023058,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-70.32952200023058 43.88742099969205),04039,Cumberland County,1
190,340,Po Box 1621,,Rockland,Maine,04841,Knox County,"PO BOX 1621, ROCKLAND, ME 04841",44.10414399983415,-69.11242900030297,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-69.11242900030297 44.10414399983415),04841,Knox County,1
192,343,Po Box 201,,Lisbon Falls,Maine,04252,Androscoggin County,"PO BOX 201, LISBON FALLS, ME 04252",44.00123300003143,-70.05890200021689,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-70.05890200021689 44.00123300003143),04252,Androscoggin County,1
193,344,Po Box 50,,Windsor,Maine,04363,Kennebec County,"PO BOX 50, WINDSOR, ME 04363",44.31195799998264,-69.59488800022544,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-69.59488800022544 44.31195799998264),04363,Kennebec County,1
194,347,Po Box 262,,Canaan,Maine,04924,Somerset County,"PO BOX 262, CANAAN, ME 04924",44.7640020001515,-69.55782900030906,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-69.55782900030906 44.7640020001515),04924,Somerset County,1
199,352,Rr 2 Box 1768,,Carmel,Maine,04419,Penobscot County,"RR 2 BOX 1768, CARMEL, ME 04419",44.8010980002977,-69.0386910004118,PO Box,ME,FAILED DUE TO STREET ADDRESS STARTS WITH LETTER,POINT (-69.0386910004118 44.8010980002977),04419,Penobscot County,1
200,353,Po Box 238,,Edgecomb,Maine,04556,Lincoln County,"PO BOX 238, EDGECOMB, ME 04556",43.99554599977762,-69.65109900025254,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-69.65109900025254 43.99554599977762),04556,Lincoln County,1
201,354,Po Box 541,,Belfast,Maine,04915,Waldo County,"PO BOX 541, BELFAST, ME 04915",44.42173200023765,-69.00402099992493,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-69.00402099992493 44.42173200023765),04915,Waldo County,1
203,356,Po Box 62,,Brewer,Maine,04412,Penobscot County,"PO BOX 62, BREWER, ME 04412",44.79216999982987,-68.76076100019777,PO Box,ME,FAILED DUE TO PO BOX ADDRESS,POINT (-68.76076100019777 44.79216999982987),04412,Penobscot County,1
